PO #,Invoice #,Invoice Date,Total Amount
PO00652400,SAJ/2017/0555,06/06/2017,$63.75,
PO00652341,SAJ/2017/0554,06/06/2017,$121.50,
PO00651533,SAJ/2017/0551,06/06/2017,$685.00,
PO00651583,SAJ/2017/0486,06/06/2017,$92.75,
PO00651450,SAJ/2017/0485,06/06/2017,$92.75,
PO00651052,SAJ/2017/0484,06/06/2017,$63.75,
PO00651538,SAJ/2017/0483,06/06/2017,$122.50,
PO00653398,SAJ/2017/0482,06/06/2017,$122.50,
PO00650717,SAJ/2017/0481,06/06/2017,$63.75,
PO00649985,SAJ/2017/0480,06/06/2017,$258.00,
PO00649650,SAJ/2017/0479,06/06/2017,$121.50,
PO00650756,SAJ/2017/0478,06/06/2017,$135.00,
PO00651994,SAJ/2017/0477,06/06/2017,$85.00,
PO00650896,SAJ/2017/0476,06/06/2017,$183.75,
PO00649601,SAJ/2017/0449,06/06/2017,$85.00,
PO00650120,SAJ/2017/0448,06/06/2017,$127.50,
PO00651881,SAJ/2017/0447,06/06/2017,$336.00,
PO00650109,SAJ/2017/0446,06/06/2017,$185.00,
PO00649711,SAJ/2017/0445,06/06/2017,$92.75,
PO00649796,SAJ/2017/0444,06/06/2017,$92.75,
PO00650050,SAJ/2017/0443,06/06/2017,$92.75,
PO00649965,SAJ/2017/0442,06/06/2017,$63.75,
PO00649911,SAJ/2017/0441,06/06/2017,$180.00,
PO00649837,SAJ/2017/0440,06/06/2017,$126.00,
